Unnamed: 0,Team1,Team2,Referee,Coef_1,Coef_X,Coef_2,Total_Fouls,Team1_Score,Team2_Score,Team1_Intensive,Team2_Intensive,Intensive,Team1_Ball_possession,Team2_Ball_possession,Team1_Fouls,Team2_Fouls,Team1_Yellow_cards,Team2_Yellow_cards,Team1_Passes,Team2_Passes,Team1_Long_balls,Team2_Long_balls,Team1_Crosses,Team2_Crosses,Team1_Dribbles,Team2_Dribbles,Team1_Duels_won,Team2_Duels_won,Team1_Aerials_won,Team2_Aerials_won,Team1_Tackles,Team2_Tackles,Team1_Corner_kicks,Team2_Corner_kicks,Team1_Interceptions,Team2_Interceptions,Team1_Possession_lost,Team2_Possession_lost,Team1_Total_shots,Team2_Total_shots,Team1_Shots_on_target,Team2_Shots_on_target,Team1_Shots_inside_box,Team2_Shots_inside_box,Team1_Shots_outside_box,Team2_Shots_outside_box,Team1_Formation,Team1_Ratings,Team2_Formation,Team2_Ratings,Team1_PPDA,Team2_PPDA,Team1_Pre_PPDA,Team2_Pre_PPDA,Ref_Mean_Cards,Ref_Mean_Fouls,Team1_Mean_Fouls_Home,Team1_Mean_Fouls,Team2_Mean_Fouls_Away,Team2_Mean_Fouls
0,Бавария М.,Герта,Вред Осмерс,1.14,8.0,15.0,24,1,2,2556,338,2218,70,30,6,18,3,3,661,282,46,62,34,8,19,7,50,37,13,12,7,14,12,0,5,12,142,109,17,6,7,3,12,2,5,4,4-3-3,0.0,3-4-1-2,0.0,10.5,16.22,,,3.0,20.0,10.0,10.0,10.0,10.0
1,Леверкузен,Падерборн,Тобиас Стилер,1.22,6.5,11.0,21,2,2,1815,462,1353,73,27,8,13,2,0,763,267,73,48,20,11,25,27,56,56,16,12,18,19,6,6,10,19,164,147,13,9,4,6,10,4,3,5,3-4-3,0.0,4-4-2,0.0,3.84,17.38,,,3.0,20.0,10.0,10.0,10.0,10.0
2,Дортмунд,Аугсбург,Фрэнк Вилленборг,1.12,8.0,26.0,15,1,1,3409,118,3291,78,22,8,7,0,0,886,246,53,55,21,5,34,13,46,50,10,7,13,28,10,0,7,16,121,104,22,5,10,1,15,5,7,0,4-2-3-1,0.0,4-2-3-1,0.0,5.91,22.67,,,3.0,20.0,10.0,10.0,10.0,10.0
3,Фрайбург,Майнц 05,Роберт Хартманн,2.5,3.3,2.75,20,0,0,1629,981,648,52,48,6,14,1,3,400,372,60,57,22,12,18,14,67,43,26,16,14,16,5,5,5,9,144,134,19,19,8,5,10,8,9,11,3-4-1-2,0.0,4-3-1-2,0.0,20.2,10.39,,,3.0,20.0,10.0,10.0,10.0,10.0
4,Вольфсбург,Кельн,Свен Яблонски,2.05,3.4,3.6,33,1,0,809,1090,-281,47,53,15,18,1,3,377,411,56,67,12,24,17,14,65,64,19,18,17,22,2,6,9,11,157,162,15,11,5,2,4,6,11,5,3-4-2-1,0.0,4-2-3-1,0.0,8.56,7.1,,,3.0,20.0,10.0,10.0,10.0,10.0
5,Бремен,Фортуна,Феликс Цвайер,1.66,4.2,4.5,22,0,1,2137,659,1478,66,34,9,13,0,2,639,308,39,66,34,21,9,8,46,44,20,15,9,16,14,5,5,11,141,117,24,12,10,7,18,7,6,5,4-3-3,0.0,4-2-3-1,0.0,11.87,21.0,,,3.0,20.0,10.0,10.0,10.0,10.0
6,Мгладбах,Шальке 04,Феликс Брых,2.15,3.6,3.2,21,0,0,1459,469,990,59,41,10,11,3,2,519,351,34,62,17,10,27,15,57,61,12,23,20,23,8,3,14,21,161,146,16,8,4,1,8,5,8,3,4-3-1-2,0.0,4-2-3-1,0.0,5.76,15.29,,,3.0,20.0,10.0,10.0,10.0,10.0
7,Э. Франкфурт,Хоффенхайм,Дэниел Зиберт,2.05,3.75,3.3,28,1,0,1067,982,85,31,69,19,9,3,1,250,567,57,56,22,14,23,20,58,64,15,24,21,15,10,5,7,9,151,159,15,9,8,1,11,7,4,2,3-4-2-1,0.0,3-4-2-1,0.0,11.45,6.44,,,3.0,20.0,10.0,10.0,10.0,10.0
8,Юнион Берлин,РБ Лейпциг,Маркус Шмидт,4.5,4.0,1.72,21,0,3,693,1682,-989,35,65,14,7,1,0,325,605,54,48,17,9,18,17,48,55,18,17,15,14,3,6,16,13,146,137,13,14,2,8,6,13,7,1,4-2-3-1,0.0,3-4-3,0.0,15.77,8.23,,,3.0,20.0,10.0,10.0,10.0,10.0
9,Кельн,Дортмунд,Кристиан Дингерт,5.5,4.75,1.5,23,1,0,605,1650,-1045,26,74,12,11,2,1,232,675,55,37,16,14,14,21,51,57,11,15,23,18,7,8,13,11,131,135,13,14,1,6,11,8,2,6,4-4-2,6.66,4-2-3-1,7.36,16.63,4.57,,,3.0,20.0,10.0,18.0,10.0,8.0
10,Хоффенхайм,Бремен,Саша Стегеманн,2.0,3.6,3.6,31,0,1,747,937,-190,54,46,14,17,2,5,510,425,41,64,12,14,11,10,56,56,27,24,11,13,3,6,11,6,125,133,10,18,3,6,8,12,2,6,3-4-2-1,6.81,3-4-2-1,6.84,10.5,16.53,,,3.0,20.0,10.0,9.0,10.0,9.0
11,Майнц 05,Мгладбах,Мартин Петерсен,2.62,3.4,2.7,28,1,1,1232,1055,177,47,53,13,15,2,2,378,422,59,64,23,13,11,20,67,58,27,21,22,18,3,5,13,9,136,143,20,15,4,6,12,11,8,4,4-3-1-2,6.48,4-3-1-2,6.96,8.17,10.72,,,3.0,20.0,10.0,14.0,10.0,10.0
12,Аугсбург,Юнион Берлин,Роберт Шредер,2.3,3.4,3.0,36,0,0,1115,661,454,54,46,17,19,3,1,382,322,72,72,19,18,12,10,63,66,26,31,14,10,3,4,16,12,158,154,12,11,4,2,7,6,5,5,4-2-3-1,6.24,4-4-2,6.34,6.11,6.93,,,3.0,20.0,10.0,7.0,10.0,14.0
13,Фортуна,Леверкузен,Патрик Иттрих,5.0,4.333333333333334,1.61,26,0,3,578,1458,-880,31,69,15,11,3,2,296,644,61,47,9,12,28,12,48,61,8,15,17,23,1,5,10,10,126,131,12,12,6,7,5,10,7,2,4-2-2-2,7.14,4-1-4-1,6.98,18.76,5.14,,,3.0,20.0,10.0,13.0,10.0,8.0
14,Падерборн,Фрайбург,Тобиас Вельц,2.3,3.75,2.75,27,1,2,1461,933,528,54,46,21,6,3,1,398,335,55,65,18,12,16,16,48,59,13,15,19,19,9,5,9,10,139,142,16,9,2,4,9,6,7,3,4-4-2,6.61,3-4-1-2,7.49,5.56,14.47,,,3.0,20.0,10.0,13.0,10.0,6.0
15,Шальке 04,Бавария М.,Марко Фриц,0.0,0.0,0.0,21,0,1,541,1375,-834,33,67,11,10,0,0,353,704,39,62,13,17,11,17,45,42,9,15,19,8,3,4,17,10,111,128,11,10,2,6,7,7,4,3,4-3-3,6.9,4-3-3,7.08,18.28,9.68,,,3.0,20.0,10.0,11.0,10.0,6.0
16,РБ Лейпциг,Э. Франкфурт,Бенджамин Кортус,1.4,4.75,7.0,25,1,0,776,909,-133,43,57,10,15,2,3,408,524,59,73,8,15,18,17,62,44,13,9,24,14,4,1,12,7,139,143,12,10,5,5,7,5,5,5,3-4-3,7.41,3-4-1-2,6.95,13.86,9.3,,,3.0,20.0,10.0,7.0,10.0,19.0
17,Герта,Вольфсбург,Гвидо Винкманн,2.4,3.4,2.9,27,0,1,929,790,139,56,44,15,12,1,0,496,383,66,62,16,11,22,13,56,64,14,18,15,21,2,5,7,13,155,145,9,10,2,4,8,5,1,5,4-3-3,6.7,3-4-2-1,6.85,7.96,11.31,,,3.0,20.0,10.0,18.0,10.0,15.0
18,Мгладбах,РБ Лейпциг,Свен Яблонски,3.1,3.6,2.2,37,0,1,1043,1097,-54,48,52,18,19,3,2,469,502,43,58,27,17,19,19,61,59,14,10,12,18,9,5,13,11,140,132,12,14,3,6,7,11,5,3,4-2-3-1,6.96,4-4-2,7.18,8.29,8.17,,,4.0,33.0,10.0,12.5,7.0,8.5
19,Леверкузен,Хоффенхайм,Феликс Цвайер,1.5,4.5,6.0,21,0,0,2689,144,2545,75,25,9,12,2,2,632,219,55,57,46,4,21,9,54,53,17,21,10,18,19,0,7,6,168,121,20,6,2,1,13,5,7,1,4-1-4-1,6.93,4-2-3-1,6.86,7.69,20.83,,,2.0,22.0,8.0,9.5,9.0,11.5
20,Бавария М.,Майнц 05,Маркус Шмидт,1.08,11.0,26.0,29,2,1,2533,256,2277,67,33,16,13,3,3,659,325,48,38,28,5,12,13,48,53,15,16,15,14,10,1,12,16,136,115,18,7,10,4,11,3,7,4,4-2-3-1,7.14,4-2-3-1,6.63,5.35,20.35,,,1.0,21.0,6.0,8.0,14.0,13.5
21,Шальке 04,Герта,Тобиас Стилер,2.05,3.5,3.6,25,1,0,1055,551,504,57,43,15,10,1,1,528,388,62,45,14,11,9,11,39,48,9,15,14,13,5,3,3,8,119,105,9,10,2,3,5,7,4,3,4-2-3-1,6.75,4-2-3-1,6.58,11.77,21.38,,,2.0,21.0,11.0,11.0,18.0,16.5
22,Фрайбург,Кельн,Роберт Кампка,2.6,3.4,2.62,21,1,0,1000,851,149,52,48,6,15,0,2,391,353,66,85,21,20,18,12,60,65,23,27,12,21,5,6,3,13,153,135,15,10,1,3,5,8,10,2,4-2-2-2,7.2,4-1-3-2,6.59,11.44,6.59,,,3.0,20.0,6.0,6.0,18.0,15.0
23,Вольфсбург,Падерборн,Даниэль Шлагер,1.44,4.75,6.0,23,0,1,1737,236,1501,62,38,8,15,0,3,531,320,52,61,25,6,23,18,64,54,12,16,23,18,8,3,15,16,162,163,16,8,5,3,8,5,8,3,3-4-2-1,6.95,4-4-2,6.55,4.78,10.26,,,3.0,20.0,15.0,13.5,13.0,17.0
24,Юнион Берлин,Дортмунд,Феликс Брых,8.0,5.0,1.36,15,1,1,567,1211,-644,25,75,13,2,0,0,255,762,66,62,14,16,8,25,31,65,15,26,9,8,7,4,13,9,136,135,15,13,7,2,9,5,6,8,4-4-2,6.57,4-2-3-1,7.2,23.74,8.23,,,5.0,21.0,14.0,16.5,11.0,9.5
25,Бремен,Аугсбург,Сёрен Аисты,1.5,4.2,6.5,24,2,1,2105,744,1361,66,34,10,14,1,4,570,283,66,61,27,11,12,9,53,42,22,18,14,12,4,2,4,8,145,132,15,12,5,6,10,8,5,4,4-3-1-2,6.71,4-4-2,6.5,8.81,18.88,,,3.0,20.0,9.0,13.0,7.0,12.0
26,Э. Франкфурт,Фортуна,Фрэнк Вилленборг,1.5699999999999998,4.2,5.25,30,0,1,1125,565,560,59,41,14,16,2,4,472,326,66,75,22,15,27,17,75,70,29,28,11,17,4,1,7,11,160,163,14,14,8,4,9,4,5,10,3-4-1-2,6.81,4-3-3,6.83,6.23,12.41,,,0.0,15.0,19.0,17.0,13.0,14.0
27,Фортуна,Вольфсбург,Мануэль Грефе,3.1,3.6,2.2,22,1,1,661,1432,-771,41,59,7,15,0,2,345,487,82,63,12,25,18,21,64,50,20,10,22,22,3,8,8,8,157,156,12,15,3,6,3,10,9,5,4-4-2,6.79,3-4-2-1,6.94,14.9,6.89,,,3.0,20.0,15.0,14.666666666666666,12.0,11.666666666666666
28,Кельн,Мгладбах,Дениз Айтекин,2.1,3.6,3.3,44,0,1,787,1060,-273,51,49,23,21,2,2,409,378,85,57,15,18,15,30,66,86,29,25,14,16,4,7,9,13,155,152,14,15,7,4,10,9,4,6,4-2-2-2,6.67,4-3-1-2,6.85,5.11,6.18,,,3.0,20.0,12.0,15.0,15.0,14.333333333333334
29,Юнион Берлин,Бремен,Тобиас Вельц,2.3,3.6,2.87,36,1,1,860,1199,-339,46,54,24,12,3,4,339,408,60,56,26,13,11,7,60,57,30,24,14,10,7,4,4,8,146,141,13,16,5,7,12,11,1,5,4-4-2,6.63,4-1-3-2,6.87,8.77,9.12,,,4.0,27.0,13.5,15.333333333333334,17.0,12.0
30,Майнц 05,Герта,Марко Фриц,2.37,3.3,3.0,27,1,0,1077,1208,-131,52,48,16,11,2,2,409,373,52,59,19,15,23,11,54,52,11,10,19,18,6,3,8,12,125,114,12,16,5,8,4,11,8,5,4-3-1-2,6.5,3-4-1-2,6.54,10.52,14.83,,,0.0,21.0,13.0,13.333333333333334,14.0,14.333333333333334
31,Дортмунд,Леверкузен,Дэниел Зиберт,1.8,3.9,4.2,22,1,0,907,1211,-304,33,67,9,13,0,3,347,695,57,47,9,12,17,19,43,48,6,14,18,16,3,3,22,8,134,140,9,12,7,2,9,4,0,8,4-2-3-1,7.08,4-2-3-1,6.94,16.61,6.92,,,4.0,28.0,8.0,7.0,11.0,9.333333333333334
32,Аугсбург,Э. Франкфурт,Вред Осмерс,4.0,3.8,1.83,17,2,0,457,2203,-1746,30,70,8,9,2,1,242,522,59,68,6,41,9,24,45,65,16,24,16,15,2,11,17,7,139,173,8,22,6,3,5,11,3,11,4-4-2,6.5,3-1-4-2,6.9,18.4,6.17,,,6.0,24.0,17.0,12.666666666666666,15.0,16.0
33,РБ Лейпциг,Бавария М.,Саша Стегеманн,4.0,4.2,1.75,16,1,1,633,2161,-1528,32,68,12,4,4,2,362,760,46,68,9,21,19,33,45,60,7,14,23,14,3,6,18,11,129,156,12,14,5,7,8,9,4,5,3-4-3,7.14,4-2-3-1,7.2,17.18,9.14,,,7.0,31.0,10.0,12.0,10.0,10.666666666666666
34,Хоффенхайм,Фрайбург,Гвидо Винкманн,1.85,3.8,3.8,17,0,2,1732,662,1070,68,32,11,6,0,2,572,269,49,64,26,12,17,12,49,44,26,10,7,14,12,4,5,8,129,115,24,18,5,8,16,13,8,5,3-4-1-2,6.84,3-4-1-2,6.95,6.74,21.88,,,1.0,27.0,14.0,11.666666666666666,6.0,6.0
35,Падерборн,Шальке 04,Роберт Шредер,3.0,3.6,2.3,29,1,1,516,2002,-1486,46,54,17,12,2,1,368,431,51,45,11,16,35,19,62,66,12,14,21,24,3,5,11,6,144,140,11,17,1,11,9,13,2,4,4-2-2-2,6.63,4-4-2,6.83,8.5,7.74,,,4.0,36.0,21.0,16.333333333333332,11.0,12.333333333333334
36,Шальке 04,Майнц 05,Даниэль Шлагер,1.61,4.2,5.0,22,1,0,1302,938,364,51,49,7,15,1,1,461,428,57,70,16,17,16,20,75,49,32,11,23,19,5,5,15,19,173,166,18,14,6,3,11,9,7,5,4-2-3-1,6.92,4-3-1-2,6.6,8.33,7.13,,,3.0,23.0,13.0,12.25,13.5,14.0
37,Леверкузен,Юнион Берлин,Роберт Хартманн,1.33,5.0,8.0,21,2,0,2111,126,1985,67,33,10,11,0,1,757,365,68,51,16,8,18,19,41,51,8,15,12,16,8,1,8,16,129,131,20,4,7,0,11,2,9,2,4-2-3-1,6.81,4-4-2,6.64,9.5,22.52,,,4.0,20.0,8.5,10.25,19.0,17.5
38,Бавария М.,Кельн,Патрик Иттрих,1.11,9.5,21.0,35,1,0,1856,543,1313,60,40,15,20,4,0,558,358,54,51,16,17,19,13,49,41,10,6,9,11,12,4,11,12,114,122,25,14,5,2,16,7,9,7,4-2-3-1,7.16,4-2-3-1,6.65,7.92,14.5,,,5.0,26.0,11.0,9.0,16.5,17.0
39,Герта,Падерборн,Фрэнк Вилленборг,1.6,4.2,5.25,27,1,0,427,1774,-1347,38,62,13,14,4,4,325,510,76,71,8,16,24,14,84,61,29,19,25,23,1,8,19,5,158,172,6,18,4,8,6,11,0,7,4-2-3-1,6.61,4-4-2,6.55,8.19,5.86,,,3.0,22.5,15.0,13.5,14.0,16.5
40,Фрайбург,Аугсбург,Бастиан Данкерт,1.9,3.75,3.8,26,1,1,1283,594,689,61,39,13,13,1,1,463,292,80,71,28,11,16,12,44,49,15,13,10,18,7,4,5,15,167,130,17,13,5,2,13,7,4,6,3-4-1-2,7.05,4-4-2,6.55,7.1,10.68,,,3.0,20.0,6.0,6.0,10.5,11.5
41,Бремен,РБ Лейпциг,Тобиас Стилер,4.2,4.2,1.72,27,0,2,805,1479,-674,46,54,12,15,0,3,479,539,37,52,17,23,25,8,55,56,11,15,17,24,4,7,10,7,137,131,8,14,1,7,5,8,3,6,3-5-2,6.86,3-1-4-2,7.06,13.95,9.79,,,2.0,23.0,9.5,12.0,13.0,12.0
42,Мгладбах,Фортуна,Кристиан Дингерт,1.72,3.8,4.5,26,0,1,1581,822,759,58,42,15,11,2,3,476,339,42,69,29,21,23,14,58,49,19,12,13,15,10,4,5,7,132,135,23,18,11,4,16,6,7,12,4-3-1-2,6.95,3-4-3,6.82,9.82,18.4,,,3.0,23.0,14.0,16.0,14.5,12.75
43,Э. Франкфурт,Дортмунд,Маркус Шмидт,5.25,4.2,1.5699999999999998,29,1,1,802,1535,-733,37,63,18,11,2,2,356,607,56,58,22,19,18,28,61,70,18,16,21,20,5,8,12,7,150,153,18,16,3,7,12,13,6,3,3-1-4-2,6.92,4-2-3-1,7.11,10.05,7.9,,,3.5,25.0,16.5,14.25,6.5,7.5
44,Вольфсбург,Хоффенхайм,Бенджамин Кортус,2.0,3.75,3.4,31,1,1,1139,863,276,52,48,13,18,2,4,514,472,63,62,15,10,22,15,56,64,12,17,17,25,4,6,14,9,160,150,12,9,4,5,6,6,6,3,3-4-2-1,6.91,4-1-4-1,6.82,10.07,10.14,,,5.0,25.0,11.5,12.5,10.5,11.5
45,Юнион Берлин,Э. Франкфурт,Саша Стегеманн,2.8,3.6,2.37,23,0,0,1095,1095,0,53,47,11,12,1,1,455,393,88,92,21,28,15,8,64,66,32,29,11,21,4,5,15,15,187,186,11,17,5,6,8,9,3,8,4-2-3-1,6.61,3-4-1-2,6.89,13.64,9.88,,,6.5,23.5,17.0,16.2,12.0,15.0
46,Хоффенхайм,Мгладбах,Вред Осмерс,2.7,3.4,2.55,24,0,1,1202,1143,59,51,49,11,13,2,2,470,436,52,54,20,18,11,16,47,54,11,22,16,16,2,5,6,13,139,140,17,12,4,5,9,10,8,2,3-5-2,6.83,4-3-1-2,6.96,13.24,10.38,,,4.5,20.5,12.5,12.8,18.0,15.8
47,Майнц 05,Вольфсбург,Феликс Брых,2.87,3.5,2.4,27,0,1,1652,375,1277,53,47,11,16,2,3,426,405,58,71,34,5,20,11,66,63,13,23,26,27,10,1,13,5,192,167,15,4,5,3,11,4,4,0,4-3-1-2,6.63,3-4-2-1,6.89,7.61,9.46,,,2.5,18.0,14.5,14.2,13.5,12.6
48,Аугсбург,Леверкузен,Роберт Кампка,4.5,4.2,1.7,25,0,1,208,1771,-1563,25,75,16,9,4,0,274,830,44,88,8,11,3,10,32,39,14,8,9,8,1,3,12,13,133,131,7,11,1,5,2,5,5,6,4-4-2,6.62,4-2-3-1,6.86,25.65,11.0,,,2.0,21.0,12.5,11.8,12.0,10.2
49,РБ Лейпциг,Шальке 04,Мануэль Грефе,1.53,4.333333333333334,5.5,27,0,2,1753,915,838,65,35,13,14,1,1,619,340,45,80,23,7,20,18,65,51,19,16,20,14,8,4,5,16,176,165,16,13,6,8,7,11,9,2,4-2-2-2,7.05,4-4-2,6.95,6.36,9.61,,,2.0,22.0,11.0,12.6,11.5,11.2
50,Падерборн,Бавария М.,Феликс Цвайер,15.0,10.0,1.14,14,0,1,965,1588,-623,36,64,8,6,1,1,350,649,56,71,24,12,20,46,48,71,10,16,22,20,11,5,7,11,148,146,10,18,5,6,3,15,7,3,4-4-2,6.56,4-2-3-1,7.22,16.8,9.86,,,3.0,21.5,19.0,16.0,7.0,10.2
51,Дортмунд,Бремен,Дениз Айтекин,1.33,5.75,8.5,18,2,1,1881,243,1638,65,35,8,10,1,0,750,399,37,50,35,10,24,18,44,44,6,10,14,16,9,2,4,21,143,111,18,11,7,5,11,9,7,2,4-2-3-1,7.07,4-2-3-1,6.8,11.67,22.41,,,4.0,44.0,8.5,8.2,14.5,12.0
52,Фортуна,Фрайбург,Дэниел Зиберт,2.5,3.4,2.7,20,1,1,1334,396,938,55,45,9,11,2,2,481,408,50,65,24,6,17,14,53,39,18,10,14,14,5,1,6,6,129,112,18,9,7,3,12,6,6,3,4-2-2-2,6.83,3-4-2-1,6.99,20.23,12.16,,,3.5,25.0,11.0,12.4,6.0,7.4
53,Кельн,Герта,Сёрен Аисты,2.05,3.6,3.4,23,0,1,1174,870,304,54,46,10,13,1,0,438,379,61,47,32,19,8,9,41,37,14,13,13,11,8,4,13,11,124,108,9,10,3,6,7,7,2,3,4-2-2-2,6.6,4-2-3-1,6.7,10.0,18.88,,,5.0,24.0,17.5,17.6,13.0,13.4
54,Герта,Фортуна,Мартин Петерсен,1.61,4.0,5.0,35,2,1,1381,744,637,53,47,17,18,3,3,448,396,50,55,24,15,19,13,66,44,17,12,20,11,9,2,9,10,119,119,17,10,3,3,14,5,3,5,4-2-3-1,6.8,4-2-3-1,6.83,11.18,12.61,,,4.0,28.0,14.0,13.333333333333334,13.333333333333334,11.833333333333334
55,Леверкузен,РБ Лейпциг,Марко Фриц,2.3,3.6,2.87,25,0,0,1239,539,700,64,36,12,13,2,2,718,386,52,43,18,8,22,14,52,64,14,16,19,30,4,0,14,9,182,172,11,11,8,5,8,10,3,1,3-4-2-1,6.92,4-4-2,7.02,7.81,16.9,,,2.0,24.0,9.0,10.0,13.666666666666666,12.666666666666666
56,Бавария М.,Хоффенхайм,Тобиас Стилер,1.1,9.5,26.0,21,0,0,2052,330,1722,64,36,9,12,2,0,691,394,73,65,29,9,19,11,58,53,18,18,14,21,9,3,15,4,146,140,20,8,4,5,12,7,8,1,4-2-3-1,7.2,4-1-4-1,6.8,8.21,21.47,,,2.333333333333333,24.33333333333333,12.333333333333334,9.5,13.0,12.5
57,Фрайбург,Дортмунд,Свен Яблонски,5.5,4.0,1.6,18,0,1,559,1498,-939,34,66,10,8,0,3,394,767,69,54,14,17,12,25,47,51,16,13,14,13,3,11,9,6,143,153,6,8,1,4,4,6,2,2,3-4-2-1,6.96,4-2-3-1,7.05,20.09,12.33,,,4.5,35.0,8.333333333333334,8.0,8.0,8.166666666666666
58,Падерборн,Майнц 05,Патрик Иттрих,2.45,3.6,2.75,28,1,2,1352,985,367,64,36,9,19,1,4,573,301,66,53,19,20,26,14,66,53,18,16,14,22,7,10,8,12,158,139,16,16,7,7,8,11,8,5,4-2-3-1,6.55,4-4-2,6.66,12.73,11.26,,,4.5,30.5,15.333333333333334,14.666666666666666,14.0,13.666666666666666
59,Шальке 04,Кельн,Тобиас Вельц,1.6,4.333333333333334,5.25,34,0,0,1209,553,656,54,46,17,17,4,4,422,351,59,68,19,12,16,24,65,70,24,28,16,12,6,4,12,12,161,149,15,9,3,5,6,5,9,4,4-3-1-2,6.94,4-2-3-1,6.59,4.59,10.13,,,5.5,31.5,11.0,11.666666666666666,17.666666666666668,16.333333333333332
60,Мгладбах,Аугсбург,Роберт Шредер,1.53,4.2,6.5,18,4,0,1579,602,977,62,38,9,9,1,2,572,332,45,38,11,13,26,15,47,38,8,5,14,17,2,7,14,15,118,126,12,14,9,3,9,9,3,5,4-2-3-1,7.01,4-4-2,6.59,8.04,17.17,,,3.5,32.5,14.333333333333334,15.333333333333334,11.333333333333334,12.5
61,Вольфсбург,Юнион Берлин,Бастиан Данкерт,1.9,3.6,4.0,33,0,0,833,879,-46,51,49,18,15,2,2,413,390,86,82,22,18,19,11,51,84,23,38,7,22,5,4,7,12,180,174,13,14,4,3,11,7,2,7,3-4-2-1,6.89,3-4-2-1,6.63,9.15,7.68,,,2.0,26.0,12.0,13.166666666666666,15.0,15.333333333333334
62,Э. Франкфурт,Бремен,Гвидо Винкманн,1.9,3.8,3.5,20,0,1,2784,346,2438,62,38,12,8,2,1,472,311,63,66,50,5,15,14,46,55,17,15,13,19,10,1,6,11,177,136,25,11,7,5,20,8,5,3,3-1-4-2,6.9,4-3-3,6.82,6.78,14.69,,,1.5,22.0,17.0,14.5,13.0,11.666666666666666
63,Э. Франкфурт,Леверкузен,Кристиан Дингерт,2.7,3.8,2.37,23,2,0,861,1424,-563,34,66,11,12,1,1,316,591,69,44,11,20,24,12,55,56,13,22,18,16,4,1,9,13,178,160,10,19,5,10,10,15,0,4,3-1-4-2,6.9,3-4-2-1,6.91,16.61,5.26,,,4.0,24.5,15.75,14.142857142857142,11.0,10.285714285714286
64,Юнион Берлин,Фрайбург,Бенджамин Кортус,2.55,3.3,2.7,34,1,0,1014,956,58,39,61,21,13,3,0,346,551,69,62,22,16,15,7,61,75,27,37,8,14,3,4,19,7,138,144,16,12,5,4,7,10,9,2,3-4-2-1,6.67,3-4-2-1,6.92,11.93,11.18,,,5.5,28.0,15.5,15.285714285714286,7.666666666666667,8.285714285714286
